abstract,access_type,article_number,authors,citing_paper_count,conference_dates,conference_location,content_type,doi,download_count,eisbn,eissn,end_page,html_url,index_terms,is_open_access,isbn,issn,issue,pdf_url,publication_date,publication_title,publication_year,publisher,start_page,title,volume
"At present, the development of [::artificial::] [::intelligence::] technology has entered a new bottleneck period, and the algorithm dividend based on statistics has been exhausted. In the future, we should pay more attention to improving the efficient, intelligent collaboration among humans, machines, and the environment. This review first discusses the bottleneck problems encountered in the curr...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9781007,Wei Liu; Guangda Zhuang; Xin Liu; Shaobo Hu; Ruilin He; Yuhu Wang,0,,,IEEE Conferences,10.1109/HPCC-DSS-SmartCity-DependSys53884.2021.00321,11587,,,2158,,,False,,,,,20-22 Dec. 2021,"2021 IEEE 23rd Int Conf on High Performance Computing & Communications; 7th Int Conf on Data Science & Systems; 19th Int Conf on Smart City; 7th Int Conf on Dependability in Sensor, Cloud & Big Data Systems & Application (HPCC/DSS/SmartCity/DependSys)",2021,IEEE,2156,How do we move towards true artificial intelligence,
"Summary Human Resources are one of the most important resources in a business organization. Due to the advent of Information Technology, Human Resource Management (HRM) has witnessed a paradigm shift. The unprecedented development in the field of IT has positively influenced organizational practices. [::Artificial::] [::Intelligence::] (AI) which is IT&#x2010;based technology has come to be rec...","{'type': 'locked', 'message': 'Full text access may be available.'}",10953938,Jyoti Dashora; Karunesh Saxena,0,,,Wiley Books,10.1002/9781119710301.ch4,0,,,71,,,False,,,,,,Impact of [::Artificial::] [::Intelligence::] on Organizational Transformation,2022,Wiley,57,Effect of Artificial Intelligence on Human Resource Profession: A Paradigm Shift,
"The integration of [::artificial::] [::intelligence::] (AI) into diabetes care holds the potential to transform patient management and improve outcomes, especially in Malaysia, where diabetes represents a major public health challenge. However, the adoption and effectiveness of AI in healthcare are significantly impacted by patient attitudes. This paper addresses the gap in understanding these att...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10730338,Maslin Masrom; Logeswary Krisnan; Yazriwati Yahya; Manimaran Krishnan Kaundan,0,,,IEEE Conferences,10.1109/AiDAS63860.2024.10730338,1598,,,445,,,False,,,,,3-4 Sept. 2024,2024 5th International Conference on [::Artificial::] [::Intelligence::] and Data Sciences (AiDAS),2024,IEEE,441,Patient Attitude on the Application of Artificial Intelligence in Diabetes Care,
"In this era of rapid development, [::artificial::] [::intelligence::] has gradually entered our life, as a will be applied to the global technology, [::artificial::] [::intelligence::] in many fields have broad application prospects, [::artificial::] [::intelligence::] as the product of social development and technological innovation, has become a new round of scientific and technological innovati...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9718926,Meijing Song; Xinjian Chen,0,,,IEEE Conferences,10.1109/CISAI54367.2021.00139,1644,,,692,,,False,,,,,17-19 Sept. 2021,2021 International Conference on Computer Information Science and [::Artificial::] [::Intelligence::] (CISAI),2021,IEEE,689,Construction of Enterprise Business Management Analysis Framework in the Development of Artificial Intelligence,
"With the development of science and technology, computer technology is more and more widely used in people&#39;s life. As a branch of computer technology, [::artificial::] [::intelligence::] technology is also gradually developing and expanding, affecting people&#39;s life. Nowadays, the processing ability shown by simple computer technology has gradually lagged behind the times. If you want more convenie...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9797546,Genjin Chen; Qi Yuan,0,,,IEEE Conferences,10.1109/ICAICE54393.2021.00035,2741,,,142,,,False,,,,,5-7 Nov. 2021,2021 2nd International Conference on [::Artificial::] [::Intelligence::] and Computer Engineering (ICAICE),2021,IEEE,139,Application and existing problems of computer network technology in the field of artificial intelligence,
"Summary Nothing is permanent except change, and technology change is continuously evolving over the years; we have moved from radio to television and now to the web slowly and gradually where we are adopting AI. AI is nothing but performing its cognitive functions to extract and solve the problem more efficiently and effectively than humans. AI has successfully managed to erect what is thought ...","{'type': 'locked', 'message': 'Full text access may be available.'}",10953885,Swati Bandi; Anil Kothari,0,,,Wiley Books,10.1002/9781119710301.ch16,0,,,287,,,False,,,,,,Impact of [::Artificial::] [::Intelligence::] on Organizational Transformation,2022,Wiley,259,Artificial Intelligence: An Asset for the Financial Sector,
[::Artificial::] [::Intelligence::] (AI) is a broad term that can be construed to mean a focusing computer programming and development that is designed to train machines and to perform task. [::Artificial::] [::intelligence::] can be used to test theories of reasoning like cognitive reasoning and consciousness. Research has been conducted on the development of machines with human behavior and cogn...,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9793310,Janmanchi Harika; Palavadi Baleeshwar; Kummari Navya; Hariharan Shanmugasundaram,0,,,IEEE Conferences,10.1109/ICAAIC53929.2022.9793310,12279,,,84,,,False,,,,,9-11 May 2022,2022 International Conference on Applied [::Artificial::] [::Intelligence::] and Computing (ICAAIC),2022,IEEE,81,A Review on Artificial Intelligence with Deep Human Reasoning,
"Under the background of the information age, the development of science and technology has had an unprecedented situation, which makes people&#39;s lives have undergone tremendous changes, especially the development of [::artificial::] [::intelligence::], which has increasingly penetrated into the field of accounting, which has attracted the attention of staff in various industries. The development of...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9750746,Chunling Zhu; Yutong Guan,0,,,IEEE Conferences,10.1109/IWECAI55315.2022.00076,2612,,,361,,,False,,,,,14-16 Jan. 2022,2022 3rd International Conference on Electronic Communication and [::Artificial::] [::Intelligence::] (IWECAI),2022,IEEE,358,The Risks and Countermeasures of Accounting Artificial Intelligence,
"At present, driven by new theories and technologies such as the Internet and big data, [::artificial::] [::intelligence::] is developing rapidly, and all walks of life are actively integrating with [::artificial::] [::intelligence::] technology to advance the development of the industry. This article takes the application of [::artificial::] [::intelligence::] in hotels as the research object, pre...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10729894,Xiao Niu; Lixia Zhang,0,,,IEEE Conferences,10.1109/AICIT62434.2024.10729894,698,,,4,,,False,,,,,20-22 Sept. 2024,2024 3rd International Conference on [::Artificial::] [::Intelligence::] and Computer Information Technology (AICIT),2024,IEEE,1,Research on the Application of Artificial Intelligence in Hotels,
"With the continuous development of modern information technology, various new development technologies are gradually emerging. As an important development content of the discipline of computer science, [::artificial::] [::intelligence::] can simulate human activities through intelligent systems or intelligent machines, so as to extend people’s [::intelligence::]. [::Artificial::] [::intelligence::...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9719110,Rui Sun,0,,,IEEE Conferences,10.1109/CISAI54367.2021.00135,2502,,,672,,,False,,,,,17-19 Sept. 2021,2021 International Conference on Computer Information Science and [::Artificial::] [::Intelligence::] (CISAI),2021,IEEE,669,Analysis on the application of artificial intelligence in marketing,
