article_id,title,subtitle,abstract,authors,publication_title,journal_title,publication_year,publication_date,doi,isbn,issn,eissn,document_type,publisher,language,volume,issue,page_start,page_end,page_count,keywords,subject_area,pdf_url,url,stable_url,access_type,is_open_access,peer_reviewed,citation_count,conference_location,source_databases,original_indices
9781007,How do we move towards true artificial intelligence,,"At present, the development of [::artificial::] [::intelligence::] technology has entered a new bottleneck period, and the algorithm dividend based on statistics has been exhausted. In the future, we should pay more attention to improving the efficient, intelligent collaboration among humans, machines, and the environment. This review first discusses the bottleneck problems encountered in the curr...",Wei Liu; Guangda Zhuang; Xin Liu; Shaobo Hu; Ruilin He; Yuhu Wang,"2021 IEEE 23rd Int Conf on High Performance Computing & Communications; 7th Int Conf on Data Science & Systems; 19th Int Conf on Smart City; 7th Int Conf on Dependability in Sensor, Cloud & Big Data Systems & Application (HPCC/DSS/SmartCity/DependSys)",,2021,20-22 Dec. 2021,10.1109/HPCC-DSS-SmartCity-DependSys53884.2021.00321,,,,IEEE Conferences,IEEE,,,,2156.0,2158.0,,,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,0@ieee
10953938,Effect of Artificial Intelligence on Human Resource Profession: A Paradigm Shift,,"Summary Human Resources are one of the most important resources in a business organization. Due to the advent of Information Technology, Human Resource Management (HRM) has witnessed a paradigm shift. The unprecedented development in the field of IT has positively influenced organizational practices. [::Artificial::] [::Intelligence::] (AI) which is IT&#x2010;based technology has come to be rec...",Jyoti Dashora; Karunesh Saxena,Impact of [::Artificial::] [::Intelligence::] on Organizational Transformation,,2022,,10.1002/9781119710301.ch4,,,,Wiley Books,Wiley,,,,57.0,71.0,,,,,,,"{'type': 'locked', 'message': 'Full text access may be available.'}",False,,0,,ieee,1@ieee
10730338,Patient Attitude on the Application of Artificial Intelligence in Diabetes Care,,"The integration of [::artificial::] [::intelligence::] (AI) into diabetes care holds the potential to transform patient management and improve outcomes, especially in Malaysia, where diabetes represents a major public health challenge. However, the adoption and effectiveness of AI in healthcare are significantly impacted by patient attitudes. This paper addresses the gap in understanding these att...",Maslin Masrom; Logeswary Krisnan; Yazriwati Yahya; Manimaran Krishnan Kaundan,2024 5th International Conference on [::Artificial::] [::Intelligence::] and Data Sciences (AiDAS),,2024,3-4 Sept. 2024,10.1109/AiDAS63860.2024.10730338,,,,IEEE Conferences,IEEE,,,,441.0,445.0,,,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,2@ieee
9718926,Construction of Enterprise Business Management Analysis Framework in the Development of Artificial Intelligence,,"In this era of rapid development, [::artificial::] [::intelligence::] has gradually entered our life, as a will be applied to the global technology, [::artificial::] [::intelligence::] in many fields have broad application prospects, [::artificial::] [::intelligence::] as the product of social development and technological innovation, has become a new round of scientific and technological innovati...",Meijing Song; Xinjian Chen,2021 International Conference on Computer Information Science and [::Artificial::] [::Intelligence::] (CISAI),,2021,17-19 Sept. 2021,10.1109/CISAI54367.2021.00139,,,,IEEE Conferences,IEEE,,,,689.0,692.0,,,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,3@ieee
9797546,Application and existing problems of computer network technology in the field of artificial intelligence,,"With the development of science and technology, computer technology is more and more widely used in people&#39;s life. As a branch of computer technology, [::artificial::] [::intelligence::] technology is also gradually developing and expanding, affecting people&#39;s life. Nowadays, the processing ability shown by simple computer technology has gradually lagged behind the times. If you want more convenie...",Genjin Chen; Qi Yuan,2021 2nd International Conference on [::Artificial::] [::Intelligence::] and Computer Engineering (ICAICE),,2021,5-7 Nov. 2021,10.1109/ICAICE54393.2021.00035,,,,IEEE Conferences,IEEE,,,,139.0,142.0,,,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,4@ieee
10953885,Artificial Intelligence: An Asset for the Financial Sector,,"Summary Nothing is permanent except change, and technology change is continuously evolving over the years; we have moved from radio to television and now to the web slowly and gradually where we are adopting AI. AI is nothing but performing its cognitive functions to extract and solve the problem more efficiently and effectively than humans. AI has successfully managed to erect what is thought ...",Swati Bandi; Anil Kothari,Impact of [::Artificial::] [::Intelligence::] on Organizational Transformation,,2022,,10.1002/9781119710301.ch16,,,,Wiley Books,Wiley,,,,259.0,287.0,,,,,,,"{'type': 'locked', 'message': 'Full text access may be available.'}",False,,0,,ieee,5@ieee
9793310,A Review on Artificial Intelligence with Deep Human Reasoning,,[::Artificial::] [::Intelligence::] (AI) is a broad term that can be construed to mean a focusing computer programming and development that is designed to train machines and to perform task. [::Artificial::] [::intelligence::] can be used to test theories of reasoning like cognitive reasoning and consciousness. Research has been conducted on the development of machines with human behavior and cogn...,Janmanchi Harika; Palavadi Baleeshwar; Kummari Navya; Hariharan Shanmugasundaram,2022 International Conference on Applied [::Artificial::] [::Intelligence::] and Computing (ICAAIC),,2022,9-11 May 2022,10.1109/ICAAIC53929.2022.9793310,,,,IEEE Conferences,IEEE,,,,81.0,84.0,,,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,6@ieee
9750746,The Risks and Countermeasures of Accounting Artificial Intelligence,,"Under the background of the information age, the development of science and technology has had an unprecedented situation, which makes people&#39;s lives have undergone tremendous changes, especially the development of [::artificial::] [::intelligence::], which has increasingly penetrated into the field of accounting, which has attracted the attention of staff in various industries. The development of...",Chunling Zhu; Yutong Guan,2022 3rd International Conference on Electronic Communication and [::Artificial::] [::Intelligence::] (IWECAI),,2022,14-16 Jan. 2022,10.1109/IWECAI55315.2022.00076,,,,IEEE Conferences,IEEE,,,,358.0,361.0,,,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,7@ieee
10729894,Research on the Application of Artificial Intelligence in Hotels,,"At present, driven by new theories and technologies such as the Internet and big data, [::artificial::] [::intelligence::] is developing rapidly, and all walks of life are actively integrating with [::artificial::] [::intelligence::] technology to advance the development of the industry. This article takes the application of [::artificial::] [::intelligence::] in hotels as the research object, pre...",Xiao Niu; Lixia Zhang,2024 3rd International Conference on [::Artificial::] [::Intelligence::] and Computer Information Technology (AICIT),,2024,20-22 Sept. 2024,10.1109/AICIT62434.2024.10729894,,,,IEEE Conferences,IEEE,,,,1.0,4.0,,,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,8@ieee
9719110,Analysis on the application of artificial intelligence in marketing,,"With the continuous development of modern information technology, various new development technologies are gradually emerging. As an important development content of the discipline of computer science, [::artificial::] [::intelligence::] can simulate human activities through intelligent systems or intelligent machines, so as to extend people’s [::intelligence::]. [::Artificial::] [::intelligence::...",Rui Sun,2021 International Conference on Computer Information Science and [::Artificial::] [::Intelligence::] (CISAI),,2021,17-19 Sept. 2021,10.1109/CISAI54367.2021.00135,,,,IEEE Conferences,IEEE,,,,669.0,672.0,,,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,9@ieee
10285175,Application of artificial intelligence in computer network technology,,"With the development of science and technology, [::artificial::] [::intelligence::] has been widely used in many fields, smart TVs, intelligent sweeping robots, intelligent voice, etc. are quiet trigger great changes in human society. At the same time, people are also exploring the integration and development of computer network technology and [::artificial::] [::intelligence::], in order to use [...",Xiaohua Ma,2023 2nd International Conference on [::Artificial::] [::Intelligence::] and Autonomous Robot Systems (AIARS),,2023,29-31 July 2023,10.1109/AIARS59518.2023.00043,,,,IEEE Conferences,IEEE,,,,182.0,186.0,,,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,10@ieee
9534539,"Applications, Risks and Countermeasures of Artificial Intelligence in Education",,"The application of [::artificial::] [::intelligence::] in education has greatly affected school management, teachers&#39; teaching and students&#39; learning, and has an important influence on the mechanism and mechanism of learning process. The concept of [::artificial::] [::intelligence::] is to simulate human [::intelligence::] by machine, thus completing specific roles and tasks, and has the character...",Zhang Qian,2021 2nd International Conference on [::Artificial::] [::Intelligence::] and Education (ICAIE),,2021,18-20 June 2021,10.1109/ICAIE53562.2021.00026,,,,IEEE Conferences,IEEE,,,,89.0,92.0,,,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,11@ieee
10842748,The Role of Artificial Intelligence (AI) in Transforming Biomedical Imaging: A Comprehensive Overview,,"The integration of [::Artificial::] [::Intelligence::] (AI) in biomedical imaging heralds a transformative era in medical diagnostics and research. This comprehensive overview explores the multifaceted impact of AI on various imaging modalities, emphasizing its potential to revolutionize disease detection, characterization, and treatment planning. AI applications, particularly machine learning and...",Gunjan R. Chaudhari; Umesh B. Telrandhe,"2024 2nd DMIHER International Conference on [::Artificial::] [::Intelligence::] in Healthcare, Education and Industry (IDICAIEI)",,2024,29-30 Nov. 2024,10.1109/IDICAIEI61867.2024.10842748,,,,IEEE Conferences,IEEE,,,,1.0,5.0,,,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,12@ieee
11167191,"Artificial Intelligence for Cybersecurity: Emerging Techniques, Challenges, and Future Trends",,"Cybersecurity is now a major issue, and it is getting the attention of researchers, academics, and businesses to really focus on safeguarding our information systems. With everything going digital so quickly, the threats online are constantly changing, putting both people and companies at serious risk. This review provides an in-depth analysis of the state-of-the-art in cybersecurity, addressing k...",Isha Yadav; Vaibhav Shekhawat; Kamlesh Gautam; Gaurav Kumar Soni; Rajeev Yadav,2025 3rd International Conference on Sustainable Computing and Data Communication Systems (ICSCDS),,2025,6-8 Aug. 2025,10.1109/ICSCDS65426.2025.11167191,,,,IEEE Conferences,IEEE,,,,1176.0,1180.0,,,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,13@ieee
10748289,Analysis of the Impact of Artificial Intelligence on Electricity Consumption,,"The in-depth development and widespread application of [::artificial::] [::intelligence::] technology will have significant impact on electricity demand. However, there are few comprehensive analyses. This article will analyze the direct and indirect impact respectively. For direct impact, [::artificial::] [::intelligence::] requires various data centers to provide huge computing and storage capab...",Yuelong Jia,"2024 3rd International Conference on [::Artificial::] [::Intelligence::], Internet of Things and Cloud Computing Technology (AIoTC)",,2024,13-15 Sept. 2024,10.1109/AIoTC63215.2024.10748289,,,,IEEE Conferences,IEEE,,,,57.0,60.0,,,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,14@ieee
11022287,Exploration and Reflection of Legal Artificial Intelligence in Japan,,"It has been more than 60 years since the concept of [::artificial::] [::intelligence::] was established in 1956. In recent years, with the innovation and development of technology, especially the emergence of ChatGPT, it is expected that generative [::artificial::] [::intelligence::] models will lead to new breakthroughs in various industries. This thesis focuses on Japan, which is adjacent to Chi...",Zhengzhen Qian,2024 8th Asian Conference on [::Artificial::] [::Intelligence::] Technology (ACAIT),,2024,8-10 Nov. 2024,10.1109/ACAIT63902.2024.11022287,,,,IEEE Conferences,IEEE,,,,812.0,816.0,,,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,15@ieee
9425971,Research on Artificial Intelligence Algorithm and Its Application in Games,,"With the in-depth development of intelligent technology, game [::artificial::] [::intelligence::] (AI) has become the technical core of improving the playability of a game and the main selling point of game promotion, deepening the game experience realm. Modern computer games achieve the realism of games by integrating graphics, physics and [::artificial::] [::intelligence::]. It is difficult to d...",Cundong Tang; Zhiping Wang; Xiuxiu Sima; Lingxiao Zhang,2020 2nd International Conference on [::Artificial::] [::Intelligence::] and Advanced Manufacture (AIAM),,2020,15-17 Oct. 2020,10.1109/AIAM50918.2020.00085,,,,IEEE Conferences,IEEE,,,,386.0,389.0,,,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,16@ieee
10280429,Grokking Artificial Intelligence Algorithms,,"Grokking Artificial Intelligence Algorithms is a fully-illustrated and interactive tutorial guide to the different approaches and algorithms that underpin AI. Written in simple language and with lots of visual references and hands-on examples, you&#39;ll learn the concepts, terminology, and theory you need to effectively incorporate AI algorithms into your applications. And to make sure you truly grok...",Rishal Hurbans,,,2020,,,,,,Manning Books,Manning,,,,,,,,,,,,"{'type': 'locked', 'message': 'Full text access may be available.'}",False,,0,,ieee,17@ieee
