article_id,title,abstract,authors,publication_title,publication_year,publication_date,doi,document_type,publisher,volume,issue,page_start,page_end,keywords,pdf_url,access_type,is_open_access,peer_reviewed,citation_count,source_databases,original_indices
,An AI Method to Score Celebrity Visual Potential.,"It has long been a mantra of marketing practice that, particularly in low-involvement situations, spokespeople should be physically attractive. This article suggests there is a higher probability of gaining fame and influence (i.e., celebrity potential) than is captured by attractiveness or typicality. The authors identify 11 facial features that may predict celebrity potential by virtue of their purported relationship with charisma and resulting personality trait inferences. Using machine learning methods and a sample of 22,000 faces, the authors calculate the direction and strength of the correlation of each feature with celebrity potential. The model is 95.92% accurate in predicting whether a given face belongs to a celebrity or noncelebrity, and it enables a celebrity visual potential (CVP) metric to be calculated for any face. Two controlled experiments and two studies using photographs of faces of Instagram and LinkedIn users further validate that the model-generated CVP is consistent with human-rated CVP, showing predictive power above and beyond facial typicality and averageness. This research challenges prior assumptions about the importance of attractiveness in spokesperson choice, offers a useful additional metric for marketers, and provides novel insights about the relative importance of various inferred personality traits for celebrity potential.","Feng, Xiaohang; Zhang, Shunyuan; Liu, Xiao; Srinivasan, Kannan; Lamberton, Cait",Journal of Marketing Research (JMR),,20251001,10.1177/00222437251323238,,American Marketing Association,62.0,5.0,757.0,775.0,<mark>Artificial intelligence</mark>; Advertising endorsements; Celebrities; Personal beauty; Face; Personality,/linkprocessor/v2-pdf?sourceRecordId=c4u22j3o2f&recordId=c4u22j3o2f&profileIdentifier=q46rpe&intent=view&type=pdfLink&lang=es,,,True,,ebsco,16@ebsco
,Artificial Intelligence,"Artificial Intelligence is an indispensable text for teaching and learning artificial intelligence. It focuses to study the concepts of artificial intelligence. It helps to learn the methods of solving problems using artificial intelligence. It also introduce the concepts of expert systems and machine learning. Features: P Student friendly –written in a clear, concise and lucid manner P A sincere attempt has been made to introduce the basic concepts P Each chapter is organized into small sections that address key topics P In-depth coverage and good style are emphasized P Motivates the unmotivated P Explains the philosophy behind the artificial intelligence P Covers both elementary as well as advanced concepts P Aids understanding of concepts by providing diagrams and program listings wherever appropriate P Logical flow of concepts starting from the preliminary topics to the major topics","Bhuvaneswari, B",,,20210101,,,Astral International Pvt Ltd,,,,,COMPUTERS / <mark>Artificial Intelligence</mark> / General; <mark>Artificial intelligence</mark>,,,,False,,ebsco,6@ebsco
,"Artificial Intelligence : Ethical, Social, and Security Impacts for the Present and the Future","A global perspective on AI AI is much more than just a simple tool powering our smartphones or allowing us to ask Alexa about the latest cinema times. It is a technology that is, in very subtle but unmistakable ways, exerting an ever-increasing influence over our lives – and the more we use it, the more AI is altering our existence. The rise of AI and super-intelligent AI raises ethical issues. AI is the power behind Google's search engine, enables social media sites to serve up targeted advertising, and gives Alexa and Siri their voices. It is also the technology enabling self-driving vehicles, predictive policing, and autonomous weapons that have the ability to kill without direct human intervention. All of these bring up complex ethical issues that are still unresolved and will continue to be the subject of ongoing debate. There are untold how-to books on AI technology, replete with methods to improve and advance the statistics and algorithms of AI; however, the social, ethical and security impacts are often at best a secondary consideration – if discussed at all. This book explores the complex topic of AI ethics in a cross-functional way, alternating between theory and practice. Practical and recent events, and their associated challenges, are presented, such as the collateral effects of the COVID-19 pandemic on the application of AI technologies. The book also gives an up-to-date overview of the potential positive and negative outcomes of AI implementations together with an analysis of AI from an ethical perspective. Before you dive into a world populated with AI, read this book to understand the associated ethical challenges of AI technologies",Julie Mehan,,,20220101,,,ITGP,,,,,COMPUTERS / <mark>Artificial Intelligence</mark> / General; LAW / Communications; LAW / Criminal Law / General; LAW / Computer &amp; Internet; Data protection--Technological innovations; <mark>Artificial intelligence</mark>--Moral and ethical aspects; <mark>Artificial intelligence</mark>--Social aspects,,,,False,,ebsco,3@ebsco
,"Artificial Intelligence : Ethical, Social, and Security Impacts for the Present and the Future, Second Edition","A global perspective on AI The rise of AI and super-intelligent AI raises ethical issues. AI is the power behind Google's search engine, enables social media sites to serve up targeted advertising, gives Alexa and Siri their voices, and enables OpenAI's ChatGPT to produce written responses from just a few prompts by the user. It is also the technology enabling self-driving vehicles, predictive policing, and autonomous weapons that can kill without direct human intervention. All of these bring up complex ethical issues that are still unresolved and will continue to be the subject of ongoing debate. This book: Explores the complex topic of AI ethics in a cross-functional way; Enables understanding of the associated ethical challenges of AI technologies; Provides an up-to-date overview of the potential positive and negative outcomes of AI implementations; and Has been updated to reflect the ethical challenges of AI in 2024 and beyond, and the moral imperative of navigating this new terrain. This book presents a concrete approach to identifying appropriate ethical principles in AI solutions",Julie Mehan,,,20240101,,,ITGP,,,,,COMPUTERS / <mark>Artificial Intelligence</mark> / General; LAW / Communications; LAW / Criminal Law / General; LAW / Computer &amp; Internet; Data protection--Technological innovations; <mark>Artificial intelligence</mark>--Moral and ethical aspects; <mark>Artificial intelligence</mark>--Social aspects,,,,False,,ebsco,0@ebsco
,Artificial Intelligence : Its Philosophy and Neural Context,"Originally published in 1986, in order to probe, dispute and analyse the role of artificial intelligence in cybernetic thought and information science, the author pursues this topic within its philosophical, behavioral and neurophysiological contexts, while drawing attention to cognitive issues. By elucidating the problems and potential associated with knowledge-based systems, the book emphasized the need to examine artificial intelligence in its own right.",F. H. George,Routledge Library Editions. <mark>Artificial Intelligence</mark>,,20180101,,,Routledge,,,,,PSYCHOLOGY / General; PSYCHOLOGY / Cognitive Psychology &amp; Cognition; Information science; <mark>Artificial intelligence</mark>,,,,False,,ebsco,8@ebsco
,"Artificial Intelligence : Reflections in Philosophy, Theology, and the Social Sciences","This book discusses major issues of the current AI debate from the perspectives of philosophy, theology, and the social sciences: Can AI have a consciousness? Is superintelligence possible and probable? How does AI change individual and social life? Can there be artificial persons? What influence does AI have on religious worldviews? In Western societies, we are surrounded by artificially intelligent systems. Most of these systems are embedded in online platforms. But embodiments of AI, be it by voice or by actual physical embodiment, give artificially intelligent systems another dimension in terms of their impact on how we perceive these systems, how they shape our communication with them and with fellow humans and how we live and work together. AI in any form gives a new twist to the big questions that humanity has concerned herself with for centuries: What is consciousness? How should we treat each other - what is right and what is wrong? How do our creations change the world we are living in? Which challenges do we have to face in the future?",Benedikt Paul Goecke; Astrid Marieke Rosenthal-von der Pütten,,,20200101,,,Brill | mentis,,,,,PHILOSOPHY / Mind &amp; Body; <mark>Artificial intelligence</mark>--Philosophy; <mark>Artificial intelligence</mark>; <mark>Artificial intelligence</mark>--Moral and ethical aspects,,,,False,,ebsco,7@ebsco
,"ARTIFICIAL INTELLIGENCE, TRUST, AND PERCEPTIONS OF AGENCY.","Modern artificial intelligence (AI) technologies based on deep learning architectures are often perceived as agentic to varying degrees—typically, as more agentic than other technologies but less agentic than humans. We theorize how different levels of perceived agency of AI affect human trust in AI.We do so by investigating three causal pathways. First, an AI (and its designer) perceived as more agentic will be seen as more capable, and therefore will be perceived as more trustworthy. Second, the more the AI is perceived as agentic, the more important are trustworthiness perceptions about the AI relative to those about its designer. Third, because of betrayal aversion, the anticipated psychological cost of the AI violating trust increases with how agentic it is perceived to be. These causal pathways imply, perhaps counterintuitively, thatmaking an AI appear more agentic may increase or decrease the trust that humans place in it: success at meeting the Turing testmay go hand in hand with a decrease of trust in AI.We formulate propositions linking agency perceptions to trust in AI, by exploiting variations in the context inwhich the human-AI interaction occurs and the dynamics of trust updating.","VANNESTE, BART S.; PURANAM, PHANISH",Academy of Management Review,,20251001,10.5465/amr.2022.0041,,Academy of Management,50.0,4.0,726.0,744.0,<mark>Artificial intelligence</mark>; Trust; Agent (Philosophy); Betrayal; Perception (Philosophy); Human-<mark>artificial intelligence</mark> interaction,/linkprocessor/v2-pdf?sourceRecordId=3p6y2uefkb&recordId=3p6y2uefkb&profileIdentifier=q46rpe&intent=view&type=pdfLink&lang=es,,,True,,ebsco,13@ebsco
,"Artificial Intelligence: Advances, Ethics and Strategies","The field of artificial intelligence is rapidly evolving, and one of the most exciting developments in recent years has been the emergence of generative models. These models have shown the ability to produce human-like language and even generate images, videos, and music. While the potential applications of generative models are vast and impressive, there are also serious concerns about the ethical implications of their use. As the potential of AI and generative models is explored, it is essential to consider the impact they may have on society. AI must be used in a way that is ethical, transparent, and beneficial to all of society. This will require collaboration between government, industry, and academia to ensure that the AI developed is reliable, trustworthy, and aligned with public policy goals.",James M. Nichols,"Computer Science, Technology and Applications",,20240101,,,SNOVA,,,,,COMPUTERS / <mark>Artificial Intelligence</mark> / General; <mark>Artificial intelligence</mark>; <mark>Artificial intelligence</mark>--Moral and ethical aspects,,,,False,,ebsco,1@ebsco
10953885.0,Artificial Intelligence: An Asset for the Financial Sector,"Summary Nothing is permanent except change, and technology change is continuously evolving over the years; we have moved from radio to television and now to the web slowly and gradually where we are adopting AI. AI is nothing but performing its cognitive functions to extract and solve the problem more efficiently and effectively than humans. AI has successfully managed to erect what is thought ...",Swati Bandi; Anil Kothari,Impact of [::Artificial::] [::Intelligence::] on Organizational Transformation,2022.0,,10.1002/9781119710301.ch16,Wiley Books,Wiley,,,259.0,287.0,,,"{'type': 'locked', 'message': 'Full text access may be available.'}",False,,0.0,ieee,5@ieee
,"Artificial Intelligence: Approaches, Tools, and Applications","Artificial Intelligence may be defined as a collection of several analytic tools that collectively attempt to imitate life and has matured to a set of analytic tools that facilitate solving problems which were previously difficult or impossible to solve. In this new book, the authors present topical research in the study of the tools and applications of artificial intelligence. Topics discussed include the application of artificial intelligence in the oil and gas industry and in metal stamping die design; using artificial intelligence to predict embryo quality and in biomedical imaging techniques.","Gordon, Brent M.","Computer Science, Technology and Applications",,20110101,,,"Nova Science Publishers, Inc",,,,,COMPUTERS / Business &amp; Productivity Software / Business <mark>Intelligence</mark>; COMPUTERS / <mark>Artificial Intelligence</mark> / General; <mark>Artificial intelligence</mark>,,,,False,,ebsco,12@ebsco
